"student.no","program","stats.exp","stats.anx","expected.grade","cat.dog","aus.animal","height","video.games","introversion2","introversion5","introversion7","introversion8","introversion10","pre.mood","post.mood","support.1","support.2","support.3","support.4","support.5","stress.1","stress.2","stress.3","stress.4","stress.5","sleep1","sleep2","sleep3","sleep4","sleep5","sleep6","navigation1","navigation2","navigation3","navigation4","navigation5","navigation6","navigation7","navigation8","navigation9","navigation10","navigation11","pathogen1","pathogen2","pathogen3","pathogen4","pathogen5","pathogen6","pathogen7","exercise.attitude.1","exercise.attitude.2","exercise.attitude.3","exercise.attitude.4","exercise.attitude.5","exercise.intention.1","exercise.intention.2","exercise.intention.3","exercise.intention.4","exercise.intention.5","exercise.control.1","exercise.control.2","exercise.control.3","exercise.norms.1","exercise.norms.2","exercise.norms.3","exercise.norms.4","exercise.norms.5","exercise.behaviour.1","exercise.behaviour.2","exercise.behaviour.3","exercise.behaviour.4","exercise.behaviour.5","stars.1","stars.2","stars.3","stars.4","stars.5","stars.6","stars.7","stars.8","stars.9","stars.10","stars.11","stars.12","stars.13","stars.14","stars.15","stars.16","stars.17","stars.18","stars.19","stars.20","stars.21","stars.22","stars.23","stars.24","stars.25","stars.26","stars.27","stars.28","stars.29","stars.30","stars.31","stars.32","stars.33","stars.34","stars.35","stars.36","stars.37","stars.38","stars.39","stars.40","stars.41","stars.42","stars.43","stars.44","stars.45","stars.46","stars.47","stars.48","stars.49","stars.50","stars.51","rotation_time","rotation_response","ingroup1","ingroup2","ingroup3","ingroup4","outgroup1","outgroup2","outgroup3","outgroup4"
10346994,"Health MSc",5,4,100,"dog","wombat",167.64,"Yes",1,1,3,1,1,80,81,7,7,7,7,7,2,2,2,2,2,5,2,4,5,5,4,1,2,3,3,2,1,2,1,1,4,1,6,0,2,6,3,6,6,7,7,7,7,7,7,7,7,7,4,4,3,3,7,7,7,7,7,4,5,0,2,6,4,4,1,2,1,2,3,4,4,4,3,4,4,3,4,1,3,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4102.99999995232,"B",5,5,5,5,5,5,5,5
11205317,"Other Research MSc",8,8,72,"neither","echidna",5.1,"Yes",2,4,2,3,4,46,71,7,7,3,3,7,2,2,1,1,1,4,4,3,4,5,5,6,6,7,6,6,6,6,5,6,7,7,4,6,5,2,3,1,6,6,6,2,7,5,6,4,6,5,6,4,3,3,6,5,6,6,6,0,6,3,5,4,3,1,4,2,1,1,1,3,1,3,1,1,2,1,2,4,1,1,4,1,1,2,4,1,1,1,1,2,1,4,1,3,1,1,1,2,2,2,2,1,1,1,4,3,1,4,2,3,1,1,2,746.100000035763,"C",9,8,8,7,2,6,5,6
12552386,"Other Research MSc",6,6,68,"dog","platypus",150,"Yes",4,4,2,3,5,68,61,6,7,6,6,7,2,1,3,2,0,2,1,4,4,5,5,5,6,7,5,6,7,7,7,7,6,7,5,1,4,6,4,6,2,7,5,1,7,7,7,7,7,7,7,5,5,6,6,1,6,7,1,4,3,0,0,0,5,3,2,2,1,1,4,5,1,4,2,4,3,1,4,2,1,1,4,3,2,4,5,5,1,1,1,1,1,2,1,1,1,1,1,2,5,2,1,5,1,1,1,3,1,3,1,1,1,1,2,7445.3,"C",8,7,7,6,5,5,7,7
13172934,"Conversion MSc",2,7,64,"both","koala",165,"Yes",1,1,1,3,5,52,53,4,4,7,6,4,4,4,4,4,4,5,5,4,1,1,1,7,6,7,7,6,7,7,7,7,7,7,6,0,2,0,1,6,0,6,6,2,6,6,7,7,7,7,5,5,3,5,6,6,6,6,5,6,6,4,2,5,5,4,1,3,3,1,3,1,1,4,4,3,5,3,5,1,3,1,1,1,2,2,1,2,5,2,1,1,1,1,3,1,2,2,1,3,3,2,5,3,1,2,1,3,3,1,1,4,3,2,1,57070.9,"C",6,7,7,6,5,6,4,7
14955132,"Conversion MSc",6,5,100,"dog","wombat",157,"No",2,4,4,4,5,35,58,6,6,3,1,6,3,2,4,2,1,2,2,1,2,4,2,2,6,6,3,7,5,4,5,3,4,2,5,4,5,1,6,1,5,7,7,5,7,6,5,1,7,6,2,5,4,2,2,1,5,7,1,0,6,0,0,6,4,5,4,4,3,2,4,5,1,4,4,2,5,5,3,4,3,1,2,4,4,5,1,1,4,5,2,5,3,1,1,2,3,4,3,2,5,3,5,1,1,1,4,2,2,1,1,1,2,1,4,1661,"B",2,7,6,3,1,4,7,4
16922972,"Other Research MSc",5,7,55,"both","koala",160.02,"Yes",3,4,3,4,2,41,62,7,7,6,5,7,3,3,3,3,3,1,1,5,5,5,5,6,7,3,3,3,3,5,2,6,1,1,6,3,6,6,6,6,6,5,4,4,2,3,5,5,3,5,4,2,2,3,1,5,3,5,1,1,2,0,0,2,4,3,2,2,4,1,4,4,4,4,4,4,4,4,4,2,2,4,3,4,4,4,3,3,3,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5555,"A",3,8,2,6,4,3,6,6
18838623,"Health MSc",5,4,70,"neither","kangaroo",165,"No",2,3,4,3,2,50,57,5,5,6,3,3,3,2,4,2,3,4,2,2,4,2,2,6,6,5,4,3,4,5,3,3,6,3,6,1,3,5,5,4,6,7,7,2,7,6,7,1,7,7,7,5,5,6,3,3,3,3,1,5,6,1,0,5,5,3,4,2,3,2,5,5,1,5,2,4,5,2,5,4,1,2,4,2,4,5,3,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,2,1,2,2,1,3,1,1,2,6087.2,"A",3,9,4,6,1,4,7,6
23475635,"Conversion MSc",3,5,60,"both","koala",163,"No",4,4,2,3,4,79,82,7,6,6,4,7,2,3,3,1,2,4,1,2,2,2,1,5,3,5,6,5,3,6,6,3,7,6,0,0,1,3,3,0,2,7,7,7,7,6,7,7,7,7,1,6,6,6,1,2,5,7,1,6,6,1,1,6,3,2,1,2,4,1,2,4,1,2,2,3,2,3,1,1,1,1,3,2,1,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9966.634,"A",5,5,5,4,4,6,5,4
23661380,"Conversion MSc",1,9,50,"dog","koala",166.37,"No",2,2,4,3,3,70,79,4,4,6,5,4,2,2,3,2,2,1,1,2,1,2,2,6,6,3,3,3,2,2,2,2,2,1,4,4,5,4,5,1,1,6,6,7,6,5,5,1,6,6,5,4,4,4,5,1,6,6,5,4,5,5,0,4,5,4,5,3,2,2,4,5,2,4,4,2,2,4,4,2,2,2,2,3,2,2,3,1,4,1,1,1,1,1,5,2,1,4,1,3,1,3,3,1,1,1,5,3,1,4,2,5,2,1,5,9056.99999995232,"B",6,8,6,6,4,6,7,5
24918868,"Other Research MSc",5,2,75,"both","echidna",178,"No",2,3,3,3,4,65,71,7,7,7,7,7,3,3,3,3,3,3,2,2,2,3,2,5,5,6,3,3,5,5,5,3,3,5,5,1,2,4,4,1,5,6,4,3,3,3,6,3,6,6,2,1,1,1,2,2,4,4,1,1,3,0,3,2,3,2,3,1,1,1,2,3,1,2,2,2,2,1,2,2,1,1,2,2,1,3,2,4,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,12026,"C",7,7,8,8,5,6,5,4
